

2019-04-06 00:28:12.506639
sparsity scale set to 200

15, 73.585, 0.018, 73.540, 0.023
16, 74.517, 0.327, 73.630, 0.444
17, 74.092, 0.553, 72.590, 0.751
18, 73.692, 0.060, 73.530, 0.081
19, 74.438, 0.404, 73.340, 0.549
20, 74.216, 0.253, 73.530, 0.343
21, 73.886, 0.135, 73.520, 0.183
22, 74.431, 0.317, 73.570, 0.431
23, 74.088, 0.529, 72.650, 0.719
24, 74.516, 0.338, 73.600, 0.458
25, 74.496, 0.421, 73.350, 0.573
26, 74.427, 0.371, 73.420, 0.503
27, 73.088, 0.654, 71.310, 0.889
28, 74.513, 0.332, 73.610, 0.452
29, 74.062, 0.189, 73.550, 0.256
30, 73.937, 0.577, 72.370, 0.784
31, 74.520, 0.416, 73.390, 0.565
32, 70.329, 0.758, 68.270, 1.030
33, 74.212, 0.270, 73.480, 0.366
34, 74.261, 0.486, 72.940, 0.661
35, 74.517, 0.411, 73.400, 0.559
36, 74.171, 0.236, 73.530, 0.321
37, 74.283, 0.461, 73.030, 0.627
38, 73.777, 0.080, 73.560, 0.108
39, 74.412, 0.428, 73.250, 0.581
40, 74.364, 0.363, 73.380, 0.492

 Final Sparsity: 84.01    Final Top1: 68.380


2019-04-15 00:52:18.897194
Compression scale set to 7

51, 100.970, 0.200, 73.010, 72.930, 0.144
2, 135.432, 0.200, 73.010, 60.620, 0.194
3, 93.642, 0.600, 65.470, 65.520, 0.435
4, 128.243, 0.600, 65.470, 53.250, 0.435
5, 57.954, 0.900, 29.810, 29.770, 0.654


2019-04-15 01:02:54.689104
Compression scale set to 3

301, 84.947, 0.200, 73.010, 72.930, 0.144
2, 92.692, 0.200, 73.010, 60.630, 0.194
3, 77.592, 0.600, 65.470, 65.540, 0.435
4, 85.390, 0.600, 65.470, 53.250, 0.435
5, 41.849, 0.900, 29.810, 29.770, 0.654
6, 92.909, 0.085, 73.550, 60.860, 0.152
7, 92.899, 0.090, 73.500, 60.850, 0.153
8, 92.912, 0.112, 73.650, 60.860, 0.161
9, 92.693, 0.204, 73.050, 60.630, 0.196
10, 92.908, 0.164, 73.260, 60.850, 0.180
11, 92.907, 0.162, 73.430, 60.850, 0.179
12, 92.914, 0.130, 73.450, 60.860, 0.168
13, 92.912, 0.117, 73.560, 60.860, 0.163
14, 92.903, 0.121, 73.610, 60.850, 0.165
15, 92.895, 0.053, 73.470, 60.850, 0.140
16, 92.898, 0.076, 73.400, 60.850, 0.148
17, 92.906, 0.147, 73.450, 60.850, 0.174
18, 92.893, 0.037, 73.550, 60.850, 0.134
19, 92.908, 0.078, 73.410, 60.860, 0.149
20, 87.387, 0.098, 73.490, 39.260, 0.264
21, 92.952, 0.194, 73.080, 60.890, 0.192
22, 92.896, 0.225, 72.980, 60.830, 0.205
23, 92.683, 0.206, 72.940, 60.620, 0.197
24, 93.224, 0.278, 70.460, 61.150, 0.230
25, 92.615, 0.334, 69.230, 60.530, 0.264
26, 92.630, 0.311, 69.630, 60.550, 0.249
27, 92.890, 0.014, 73.560, 60.850, 0.126
28, 92.908, 0.082, 73.440, 60.860, 0.150
29, 92.890, 0.010, 73.540, 60.850, 0.124
30, 92.896, 0.061, 73.490, 60.850, 0.143
31, 92.898, 0.163, 73.260, 60.840, 0.180
